epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49223,2.72532,3.87526,2.97999,0.00333,1,0.00548,0.00325,0.5705,3.39471,0.95261,2e-05,2e-05,2e-05
2,5.02707,2.43141,3.7317,2.44012,0.00333,1,0.0265,0.02302,0.59734,3.37431,0.96145,5.9406e-05,5.9406e-05,5.9406e-05
3,5.70069,2.65512,3.99974,2.78875,0.00296,0.88889,0.00791,0.00276,0.43732,3.37523,0.90421,9.802e-05,9.802e-05,9.802e-05
4,6.3928,2.38796,4.0929,2.45284,0.00333,1,0.00395,0.00269,0.2865,3.41226,0.87896,0.000135842,0.000135842,0.000135842
5,7.25978,1.83521,3.7928,1.96954,0.00333,1,0.00547,0.00375,0.73363,3.48132,1.09506,0.000172872,0.000172872,0.000172872
6,7.98128,1.28433,3.42335,1.59111,0.00333,1,0.13562,0.02753,1.19628,3.56015,1.47934,0.00020911,0.00020911,0.00020911
7,8.63783,1.21663,3.01365,1.39887,0.00333,1,0.995,0.23922,1.15596,3.63784,1.52019,0.000244556,0.000244556,0.000244556
8,9.26633,1.0383,3.00377,1.29178,0.00333,1,0.995,0.34328,0.87346,3.54027,1.23862,0.00027921,0.00027921,0.00027921
9,9.0743,1.28781,2.40993,1.29711,0.00333,1,0.951,0.31262,0.96712,3.53076,1.2789,0.000313072,0.000313072,0.000313072
10,9.62075,1.13617,2.3972,1.24888,0.00333,1,0.94,0.24187,1.0235,3.49065,1.32062,0.000346142,0.000346142,0.000346142
11,10.1674,1.09744,2.22207,1.18581,0.00333,1,0.995,0.27744,1.0846,3.48845,1.35454,0.00037842,0.00037842,0.00037842
12,10.7552,1.15576,2.16223,1.2401,0.00333,1,0.995,0.34035,1.00477,3.46883,1.32776,0.000409906,0.000409906,0.000409906
13,11.2973,1.05827,1.96152,1.19066,0.00333,1,0.984,0.54821,1.01492,3.12342,1.23608,0.0004406,0.0004406,0.0004406
14,11.8632,1.18083,1.94203,1.20386,0.00333,1,0.995,0.4366,1.03898,3.41108,1.34393,0.000470502,0.000470502,0.000470502
